name,rating,price_level,rating_count,tags,address
ilona,4.5,Unknown,466.0,"('restaurant', 'point_of_interest', 'food', 'establishment')","783 Tremont St, Boston"
Limoncello,4.5,3,1698.0,"('restaurant', 'food', 'point_of_interest', 'establishment')","190 North St, Boston"
Sorellina,4.5,4,725.0,"('restaurant', 'food', 'point_of_interest', 'establishment')","1 Huntington Ave, Boston"
DIG,4.5,1,467.0,"('restaurant', 'point_of_interest', 'food', 'establishment')","277 Washington St, Boston"
The Elephant Walk South End,4.5,2,596.0,"('restaurant', 'point_of_interest', 'food', 'establishment')","1415 Washington St, Boston"
Paris Creperie,4.5,2,1021.0,"('cafe', 'meal_takeaway', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment')","278 Harvard St, Brookline"
Aqua Pazza,4.5,2,294.0,"('restaurant', 'food', 'point_of_interest', 'establishment')","135 Richmond St, Boston"
Fuji at Ink Block,4.5,2,640.0,"('bar', 'restaurant', 'food', 'point_of_interest', 'establishment')","352b Harrison Ave, Boston"
Il Molo,4.5,2,199.0,"('bar', 'restaurant', 'food', 'point_of_interest', 'establishment')","326 Commercial Street, Boston"
Maggiano's Little Italy,4.5,2,3928.0,"('bar', 'meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment')","4 Columbus Ave, Boston"
The Salty Pig,4.5,2,1620.0,"('restaurant', 'point_of_interest', 'food', 'store', 'establishment')","130 Dartmouth St, Boston"
Blue Nile Restaurant,4.5,2,452.0,"('restaurant', 'point_of_interest', 'food', 'establishment')","389 Centre St, Jamaica Plain"
Dirty Water Dough Company,4.5,1,987.0,"('meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment')","222 Newbury St, Boston"
Tatte Bakery & Cafe | Charles St,4.5,2,1698.0,"('cafe', 'bakery', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment')","70 Charles St, Boston"
Falafel King - Summer Street,4.5,1,338.0,"('restaurant', 'point_of_interest', 'food', 'establishment')","62 Summer Street, Boston"
Yvonne's,4.5,3,2857.0,"('bar', 'restaurant', 'food', 'point_of_interest', 'establishment')","2 Winter Pl, Boston"
Ebi Sushi,4.5,2,979.0,"('restaurant', 'food', 'point_of_interest', 'establishment')","290 Somerville Ave, Somerville"
Zhi Wei Cafe,4.5,2,68.0,"('restaurant', 'food', 'point_of_interest', 'establishment')","104 South St, Boston"
Mooo....Beacon Hill,4.5,4,1026.0,"('restaurant', 'point_of_interest', 'food', 'establishment')","15 Beacon St, Boston"
Abe & Louie's,4.5,3,2343.0,"('bar', 'restaurant', 'point_of_interest', 'food', 'establishment')","793 Boylston St, Boston"
La Morra,4.5,3,378.0,"('restaurant', 'point_of_interest', 'food', 'establishment')","48 Boylston St, Brookline"
Eastern Standard Kitchen and Drinks,4.5,3,1799.0,"('restaurant', 'food', 'point_of_interest', 'establishment')","775 Beacon St, Boston"
Noor Mediterranean Grill,4.5,1,433.0,"('restaurant', 'food', 'point_of_interest', 'establishment')","136 College Ave, Somerville"
Milkweed,4.5,2,1383.0,"('cafe', 'restaurant', 'food', 'point_of_interest', 'establishment')","1508 Tremont St, Boston"
